time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-28 00:00:00+00:00,8,7,4,4
2023-06-29 00:00:00+00:00,5,4,7,5
2023-06-30 00:00:00+00:00,6,5,5,5
2023-07-01 00:00:00+00:00,7,6,3,3
2023-07-02 00:00:00+00:00,6,5,1,1
2023-07-03 00:00:00+00:00,7,6,4,4
2023-07-04 00:00:00+00:00,6,5,2,2
2023-07-05 00:00:00+00:00,9,8,5,5
2023-07-06 00:00:00+00:00,5,4,2,2
2023-07-07 00:00:00+00:00,5,4,16,13
2023-07-08 00:00:00+00:00,5,4,4,3
2023-07-09 00:00:00+00:00,5,4,1,1
2023-07-10 00:00:00+00:00,8,7,8,8
2023-07-11 00:00:00+00:00,7,5,6,5
2023-07-12 00:00:00+00:00,6,5,7,5
2023-07-13 00:00:00+00:00,5,4,2,2
2023-07-14 00:00:00+00:00,5,4,6,6
2023-07-15 00:00:00+00:00,5,4,1,1
2023-07-16 00:00:00+00:00,5,4,2,2
2023-07-17 00:00:00+00:00,7,6,11,6
2023-07-18 00:00:00+00:00,7,5,10,9
2023-07-19 00:00:00+00:00,6,5,27,10
2023-07-20 00:00:00+00:00,7,6,8,7
2023-07-21 00:00:00+00:00,8,6,7,7
2023-07-22 00:00:00+00:00,7,5,5,3
2023-07-23 00:00:00+00:00,5,4,0,0
2023-07-24 00:00:00+00:00,10,7,10,8
2023-07-25 00:00:00+00:00,5,4,10,8
2023-07-26 00:00:00+00:00,7,6,8,7
2023-07-27 00:00:00+00:00,6,5,2,2
2023-07-28 00:00:00+00:00,9,7,3,3
2023-07-29 00:00:00+00:00,6,5,13,3
2023-07-30 00:00:00+00:00,6,5,0,0
2023-07-31 00:00:00+00:00,6,5,8,7
2023-08-01 00:00:00+00:00,8,7,8,6
2023-08-02 00:00:00+00:00,10,8,6,5
2023-08-03 00:00:00+00:00,6,5,60,13
2023-08-04 00:00:00+00:00,7,5,19,9
2023-08-05 00:00:00+00:00,5,4,2,2
2023-08-06 00:00:00+00:00,7,6,7,4
2023-08-07 00:00:00+00:00,8,7,49,14
2023-08-08 00:00:00+00:00,9,7,47,16
2023-08-09 00:00:00+00:00,7,6,11,5
2023-08-10 00:00:00+00:00,6,5,81,10
2023-08-11 00:00:00+00:00,4,4,100,8
2023-08-12 00:00:00+00:00,7,6,7,4
2023-08-13 00:00:00+00:00,5,4,3,1
2023-08-14 00:00:00+00:00,6,5,13,4
2023-08-15 00:00:00+00:00,6,5,58,7
2023-08-16 00:00:00+00:00,8,7,14,4
2023-08-17 00:00:00+00:00,6,5,73,12
2023-08-18 00:00:00+00:00,6,5,12,10
2023-08-19 00:00:00+00:00,5,4,2,1
2023-08-20 00:00:00+00:00,5,4,1,1
2023-08-21 00:00:00+00:00,8,7,43,14
2023-08-22 00:00:00+00:00,8,7,39,20
2023-08-23 00:00:00+00:00,5,4,14,8
2023-08-24 00:00:00+00:00,5,4,11,8
2023-08-25 00:00:00+00:00,5,4,42,10
2023-08-26 00:00:00+00:00,5,4,1,1
